uid,title,abstract,authors,published_at,primary_category,categories,arxiv_url,pdf_url,pdf_path,status,quality_score,quality_reason,quality_reviewed_at,match_score,match_reason,match_summary,match_prompt_hash,added_at,last_updated_at
2601.11517v1,Do explanations generalize across large reasoning models?,"Large reasoning models (LRMs) produce a textual chain of thought (CoT) in the process of solving a problem, which serves as a potentially powerful tool to understand the problem by surfacing a human-readable, natural-language explanation. However, it is unclear whether these explanations generalize, i.e. whether they capture general patterns about the underlying problem rather than patterns which are esoteric to the LRM. This is a crucial question in understanding or discovering new concepts, e.g. in AI for science. We study this generalization question by evaluating a specific notion of generalizability: whether explanations produced by one LRM induce the same behavior when given to other LRMs. We find that CoT explanations often exhibit this form of generalization (i.e. they increase consistency between LRMs) and that this increased generalization is correlated with human preference rankings and post-training with reinforcement learning. We further analyze the conditions under which explanations yield consistent answers and propose a straightforward, sentence-level ensembling strategy that improves consistency. Taken together, these results prescribe caution when using LRM explanations to yield new insights and outline a framework for characterizing LRM explanation generalization.",Koyena Pal; David Bau; Chandan Singh,2026-01-16T18:55:29+00:00,cs.CL,cs.CL; cs.AI,https://arxiv.org/abs/2601.11517v1,https://arxiv.org/pdf/2601.11517v1,,rejected,72.0,"The paper has a clear question and a plausible evaluation protocol (cross-model behavioral consistency induced by explanations), but the abstract suggests a largely correlational/diagnostic study with a fairly narrow operationalization of “generalization.” The claimed contribution (consistency analysis + simple sentence-level ensembling) appears incremental without evidence in the abstract of strong experimental breadth, rigorous controls, or compelling downstream utility beyond the proposed metric.",2026-01-20T21:22:29.174395+00:00,,,,,2026-01-20T21:22:25.197841+00:00,2026-01-20T21:22:29.178993+00:00
2601.11516v1,Building Production-Ready Probes For Gemini,"Frontier language model capabilities are improving rapidly. We thus need stronger mitigations against bad actors misusing increasingly powerful systems. Prior work has shown that activation probes may be a promising misuse mitigation technique, but we identify a key remaining challenge: probes fail to generalize under important production distribution shifts. In particular, we find that the shift from short-context to long-context inputs is difficult for existing probe architectures. We propose several new probe architecture that handle this long-context distribution shift. We evaluate these probes in the cyber-offensive domain, testing their robustness against various production-relevant shifts, including multi-turn conversations, static jailbreaks, and adaptive red teaming. Our results demonstrate that while multimax addresses context length, a combination of architecture choice and training on diverse distributions is required for broad generalization. Additionally, we show that pairing probes with prompted classifiers achieves optimal accuracy at a low cost due to the computational efficiency of probes. These findings have informed the successful deployment of misuse mitigation probes in user-facing instances of Gemini, Google's frontier language model. Finally, we find early positive results using AlphaEvolve to automate improvements in both probe architecture search and adaptive red teaming, showing that automating some AI safety research is already possible.",János Kramár; Joshua Engels; Zheng Wang; Bilal Chughtai; Rohin Shah; Neel Nanda; Arthur Conmy,2026-01-16T18:54:29+00:00,cs.LG,cs.LG; cs.AI; cs.CL,https://arxiv.org/abs/2601.11516v1,https://arxiv.org/pdf/2601.11516v1,library/pdfs/2601.11516v1.pdf,accepted,78.0,"Clear problem statement (probe generalization failures under production distribution shifts, especially long-context) and a non-trivial set of architectural proposals with evaluation across realistic shifts (multi-turn, jailbreaks, adaptive red teaming) in a concrete domain. The paper claims deployment impact and explores automation of probe/red-teaming improvements, which adds practical and research value. Some details in the abstract are slightly high-level (e.g., specifics of architectures and experimental rigor), but overall it indicates substantive methodology and results.",2026-01-20T21:22:33.859172+00:00,,,,,2026-01-20T21:22:29.182003+00:00,2026-01-20T21:22:34.168878+00:00
2601.11514v1,ShapeR: Robust Conditional 3D Shape Generation from Casual Captures,"Recent advances in 3D shape generation have achieved impressive results, but most existing methods rely on clean, unoccluded, and well-segmented inputs. Such conditions are rarely met in real-world scenarios. We present ShapeR, a novel approach for conditional 3D object shape generation from casually captured sequences. Given an image sequence, we leverage off-the-shelf visual-inertial SLAM, 3D detection algorithms, and vision-language models to extract, for each object, a set of sparse SLAM points, posed multi-view images, and machine-generated captions. A rectified flow transformer trained to effectively condition on these modalities then generates high-fidelity metric 3D shapes. To ensure robustness to the challenges of casually captured data, we employ a range of techniques including on-the-fly compositional augmentations, a curriculum training scheme spanning object- and scene-level datasets, and strategies to handle background clutter. Additionally, we introduce a new evaluation benchmark comprising 178 in-the-wild objects across 7 real-world scenes with geometry annotations. Experiments show that ShapeR significantly outperforms existing approaches in this challenging setting, achieving an improvement of 2.7x in Chamfer distance compared to state of the art.",Yawar Siddiqui; Duncan Frost; Samir Aroudj; Armen Avetisyan; Henry Howard-Jenkins; Daniel DeTone; Pierre Moulon; Qirui Wu; Zhengqin Li; Julian Straub; Richard Newcombe; Jakob Engel,2026-01-16T18:51:24+00:00,cs.CV,cs.CV; cs.LG,https://arxiv.org/abs/2601.11514v1,https://arxiv.org/pdf/2601.11514v1,library/pdfs/2601.11514v1.pdf,accepted,78.0,"The paper states a clear and practically relevant problem (conditional 3D generation from noisy casual captures) and proposes a non-trivial multi-modal conditioning pipeline with a rectified-flow transformer plus robustness-oriented training/augmentation strategies. It includes an introduced in-the-wild benchmark and reports substantial quantitative gains (e.g., 2.7x Chamfer improvement), indicating credible experimental validation. Novelty is partly in the robust system integration and dataset/benchmark contribution rather than a fundamentally new generative core, but overall research value appears strong.",2026-01-20T21:22:38.138463+00:00,,,,,2026-01-20T21:22:34.169858+00:00,2026-01-20T21:22:39.317085+00:00
2601.11505v1,MetaboNet: The Largest Publicly Available Consolidated Dataset for Type 1 Diabetes Management,"Progress in Type 1 Diabetes (T1D) algorithm development is limited by the fragmentation and lack of standardization across existing T1D management datasets. Current datasets differ substantially in structure and are time-consuming to access and process, which impedes data integration and reduces the comparability and generalizability of algorithmic developments. This work aims to establish a unified and accessible data resource for T1D algorithm development. Multiple publicly available T1D datasets were consolidated into a unified resource, termed the MetaboNet dataset. Inclusion required the availability of both continuous glucose monitoring (CGM) data and corresponding insulin pump dosing records. Additionally, auxiliary information such as reported carbohydrate intake and physical activity was retained when present. The MetaboNet dataset comprises 3135 subjects and 1228 patient-years of overlapping CGM and insulin data, making it substantially larger than existing standalone benchmark datasets. The resource is distributed as a fully public subset available for immediate download at https://metabo-net.org/ , and with a Data Use Agreement (DUA)-restricted subset accessible through their respective application processes. For the datasets in the latter subset, processing pipelines are provided to automatically convert the data into the standardized MetaboNet format. A consolidated public dataset for T1D research is presented, and the access pathways for both its unrestricted and DUA-governed components are described. The resulting dataset covers a broad range of glycemic profiles and demographics and thus can yield more generalizable algorithmic performance than individual datasets.",Miriam K. Wolff; Peter Calhoun; Eleonora Maria Aiello; Yao Qin; Sam F. Royston,2026-01-16T18:38:33+00:00,cs.LG,cs.LG; cs.AI; eess.SY; q-bio.QM,https://arxiv.org/abs/2601.11505v1,https://arxiv.org/pdf/2601.11505v1,,rejected,72.0,"The paper’s contribution is primarily a dataset consolidation/standardization effort with limited technical novelty beyond integration and formatting. The abstract does not indicate rigorous validation of data quality, harmonization correctness, or benchmarking experiments demonstrating improved downstream algorithm performance. While potentially valuable as infrastructure, the evidence presented (as described) is insufficient to meet a high-quality, research-contribution threshold.",2026-01-20T21:22:42.646095+00:00,,,,,2026-01-20T21:22:39.317817+00:00,2026-01-20T21:22:42.647531+00:00
2601.11500v1,QUPID: A Partitioned Quantum Neural Network for Anomaly Detection in Smart Grid,"Smart grid infrastructures have revolutionized energy distribution, but their day-to-day operations require robust anomaly detection methods to counter risks associated with cyber-physical threats and system faults potentially caused by natural disasters, equipment malfunctions, and cyber attacks. Conventional machine learning (ML) models are effective in several domains, yet they struggle to represent the complexities observed in smart grid systems. Furthermore, traditional ML models are highly susceptible to adversarial manipulations, making them increasingly unreliable for real-world deployment. Quantum ML (QML) provides a unique advantage, utilizing quantum-enhanced feature representations to model the intricacies of the high-dimensional nature of smart grid systems while demonstrating greater resilience to adversarial manipulation. In this work, we propose QUPID, a partitioned quantum neural network (PQNN) that outperforms traditional state-of-the-art ML models in anomaly detection. We extend our model to R-QUPID that even maintains its performance when including differential privacy (DP) for enhanced robustness. Moreover, our partitioning framework addresses a significant scalability problem in QML by efficiently distributing computational workloads, making quantum-enhanced anomaly detection practical in large-scale smart grid environments. Our experimental results across various scenarios exemplifies the efficacy of QUPID and R-QUPID to significantly improve anomaly detection capabilities and robustness compared to traditional ML approaches.",Hoang M. Ngo; Tre' R. Jeter; Jung Taek Seo; My T. Thai,2026-01-16T18:30:24+00:00,cs.LG,cs.LG,https://arxiv.org/abs/2601.11500v1,https://arxiv.org/pdf/2601.11500v1,,rejected,64.0,"The abstract makes broad claims of outperforming state-of-the-art, adversarial resilience, differential privacy, and scalability, but provides no concrete methodological detail (e.g., threat model, PQNN design specifics, baselines, datasets, metrics) to substantiate novelty and rigor. The contribution reads incremental/marketing-heavy for QML (partitioning + DP extension) without clear evidence of non-trivial technical insight or realistic quantum advantage. While it mentions experiments, the lack of specificity and verifiable experimental design in the abstract is insufficient for a high-quality library threshold.",2026-01-20T21:22:47.655241+00:00,,,,,2026-01-20T21:22:42.648335+00:00,2026-01-20T21:22:47.656675+00:00
2601.11499v1,On the Probability of First Success in Differential Evolution: Hazard Identities and Tail Bounds,"We study first-hitting times in Differential Evolution (DE) through a conditional hazard frame work. Instead of analyzing convergence via Markov-chain transition kernels or drift arguments, we ex press the survival probability of a measurable target set $A$ as a product of conditional first-hit probabilities (hazards) $p_t=\Prob(E_t\mid\mathcal F_{t-1})$. This yields distribution-free identities for survival and explicit tail bounds whenever deterministic lower bounds on the hazard hold on the survival event. For the L-SHADE algorithm with current-to-$p$best/1 mutation, we construct a checkable algorithmic witness event $\mathcal L_t$ under which the conditional hazard admits an explicit lower bound depending only on sampling rules, population size, and crossover statistics. This separates theoretical constants from empirical event frequencies and explains why worst-case constant-hazard bounds are typically conservative. We complement the theory with a Kaplan--Meier survival analysis on the CEC2017 benchmark suite . Across functions and budgets, we identify three distinct empirical regimes: (i) strongly clustered success, where hitting times concentrate in short bursts; (ii) approximately geometric tails, where a constant-hazard model is accurate; and (iii) intractable cases with no observed hits within the evaluation horizon. The results show that while constant-hazard bounds provide valid tail envelopes, the practical behavior of L-SHADE is governed by burst-like transitions rather than homogeneous per-generati on success probabilities.",Dimitar Nedanovski; Svetoslav Nenov; Dimitar Pilev,2026-01-16T18:24:24+00:00,cs.NE,cs.NE; cs.LG,https://arxiv.org/abs/2601.11499v1,https://arxiv.org/pdf/2601.11499v1,,rejected,72.0,"The paper has a clear framing (hazard-based first-hit analysis) and some empirical survival analysis, but the technical contribution appears largely to repackage standard survival/hazard identities with conservative tail bounds that depend on a witness event whose frequency must be empirically assessed. The methodology is not strong enough to demonstrate robust, novel theoretical insight about DE beyond this reformulation, and the experimental component is descriptive rather than a rigorous validation of predictive or comparative claims.",2026-01-20T21:22:51.509364+00:00,,,,,2026-01-20T21:22:47.657364+00:00,2026-01-20T21:22:51.510877+00:00
2601.11496v1,The Poisoned Apple Effect: Strategic Manipulation of Mediated Markets via Technology Expansion of AI Agents,"The integration of AI agents into economic markets fundamentally alters the landscape of strategic interaction. We investigate the economic implications of expanding the set of available technologies in three canonical game-theoretic settings: bargaining (resource division), negotiation (asymmetric information trade), and persuasion (strategic information transmission). We find that simply increasing the choice of AI delegates can drastically shift equilibrium payoffs and regulatory outcomes, often creating incentives for regulators to proactively develop and release technologies. Conversely, we identify a strategic phenomenon termed the ""Poisoned Apple"" effect: an agent may release a new technology, which neither they nor their opponent ultimately uses, solely to manipulate the regulator's choice of market design in their favor. This strategic release improves the releaser's welfare at the expense of their opponent and the regulator's fairness objectives. Our findings demonstrate that static regulatory frameworks are vulnerable to manipulation via technology expansion, necessitating dynamic market designs that adapt to the evolving landscape of AI capabilities.",Eilam Shapira; Roi Reichart; Moshe Tennenholtz,2026-01-16T18:18:03+00:00,cs.GT,cs.GT; cs.AI; cs.CL; cs.MA,https://arxiv.org/abs/2601.11496v1,https://arxiv.org/pdf/2601.11496v1,,rejected,68.0,"The abstract claims interesting effects (“Poisoned Apple”) but is too high-level to verify: it does not specify formal models, equilibrium concepts, assumptions, or the precise mechanism by which regulator market design is endogenized. It also provides no methodological detail or experimental/empirical validation, making it difficult to assess novelty and robustness beyond a conceptual contribution.",2026-01-20T21:22:53.971348+00:00,,,,,2026-01-20T21:22:51.511578+00:00,2026-01-20T21:22:53.972900+00:00
2601.11492v1,BoxMind: Closed-loop AI strategy optimization for elite boxing validated in the 2024 Olympics,"Competitive sports require sophisticated tactical analysis, yet combat disciplines like boxing remain underdeveloped in AI-driven analytics due to the complexity of action dynamics and the lack of structured tactical representations. To address this, we present BoxMind, a closed-loop AI expert system validated in elite boxing competition. By defining atomic punch events with precise temporal boundaries and spatial and technical attributes, we parse match footage into 18 hierarchical technical-tactical indicators. We then propose a graph-based predictive model that fuses these explicit technical-tactical profiles with learnable, time-variant latent embeddings to capture the dynamics of boxer matchups. Modeling match outcome as a differentiable function of technical-tactical indicators, we turn winning probability gradients into executable tactical adjustments. Experiments show that the outcome prediction model achieves state-of-the-art performance, with 69.8% accuracy on BoxerGraph test set and 87.5% on Olympic matches. Using this predictive model as a foundation, the system generates strategic recommendations that demonstrate proficiency comparable to human experts. BoxMind is validated through a closed-loop deployment during the 2024 Paris Olympics, directly contributing to the Chinese National Team's historic achievement of three gold and two silver medals. BoxMind establishes a replicable paradigm for transforming unstructured video data into strategic intelligence, bridging the gap between computer vision and decision support in competitive sports.",Kaiwen Wang; Kaili Zheng; Rongrong Deng; Qingmin Fan; Milin Zhang; Zongrui Li; Xuesi Zhou; Bo Han; Liren Chen; Chenyi Guo; Ji Wu,2026-01-16T18:14:46+00:00,cs.AI,cs.AI,https://arxiv.org/abs/2601.11492v1,https://arxiv.org/pdf/2601.11492v1,,rejected,72.0,"While the paper claims a closed-loop Olympic deployment and reports accuracies, the abstract lacks critical methodological detail (dataset scale/splits, baselines, ablations, statistical significance) needed to substantiate “state-of-the-art” and expert-level recommendation claims. The outcome-to-recommendation step via gradients sounds plausible but is not sufficiently specified or validated in the abstract beyond anecdotal competition impact. The novelty appears moderate (structured event parsing + graph prediction), but evidence for robustness, generalization, and causal contribution in real-world wins is not convincingly established.",2026-01-20T21:22:57.188101+00:00,,,,,2026-01-20T21:22:53.973664+00:00,2026-01-20T21:22:57.189921+00:00
2601.11491v1,Extractive summarization on a CMOS Ising machine,"Extractive summarization (ES) aims to generate a concise summary by selecting a subset of sentences from a document while maximizing relevance and minimizing redundancy. Although modern ES systems achieve high accuracy using powerful neural models, their deployment typically relies on CPU or GPU infrastructures that are energy-intensive and poorly suited for real-time inference in resource-constrained environments. In this work, we explore the feasibility of implementing McDonald-style extractive summarization on a low-power CMOS coupled oscillator-based Ising machine (COBI) that supports integer-valued, all-to-all spin couplings. We first propose a hardware-aware Ising formulation that reduces the scale imbalance between local fields and coupling terms, thereby improving robustness to coefficient quantization: this method can be applied to any problem formulation that requires k of n variables to be chosen. We then develop a complete ES pipeline including (i) stochastic rounding and iterative refinement to compensate for precision loss, and (ii) a decomposition strategy that partitions a large ES problem into smaller Ising subproblems that can be efficiently solved on COBI and later combined. Experimental results on the CNN/DailyMail dataset show that our pipeline can produce high-quality summaries using only integer-coupled Ising hardware with limited precision. COBI achieves 3-4.5x runtime speedups compared to a brute-force method, which is comparable to software Tabu search, and two to three orders of magnitude reductions in energy, while maintaining competitive summary quality. These results highlight the potential of deploying CMOS Ising solvers for real-time, low-energy text summarization on edge devices.",Ziqing Zeng; Abhimanyu Kumar; Chris H. Kim; Ulya R. Karpuzcu; Sachin S. Sapatnekar,2026-01-16T18:14:02+00:00,cs.LG,cs.LG; cs.ET,https://arxiv.org/abs/2601.11491v1,https://arxiv.org/pdf/2601.11491v1,library/pdfs/2601.11491v1.pdf,accepted,78.0,"Clear problem statement (low-energy extractive summarization on constrained hardware) and a non-trivial hardware-aware Ising/QUBO reformulation plus rounding/refinement and decomposition to fit limited-precision all-to-all couplings. Includes experiments on CNN/DailyMail with reported quality retention and concrete runtime/energy comparisons versus brute force and Tabu search. While the summarization model itself is not novel, the methodology and end-to-end hardware-aligned pipeline provide credible research value.",2026-01-20T21:23:01.597462+00:00,,,,,2026-01-20T21:22:57.190702+00:00,2026-01-20T21:23:01.670959+00:00
2601.11479v1,Health Facility Location in Ethiopia: Leveraging LLMs to Integrate Expert Knowledge into Algorithmic Planning,"Ethiopia's Ministry of Health is upgrading health posts to improve access to essential services, particularly in rural areas. Limited resources, however, require careful prioritization of which facilities to upgrade to maximize population coverage while accounting for diverse expert and stakeholder preferences. In collaboration with the Ethiopian Public Health Institute and Ministry of Health, we propose a hybrid framework that systematically integrates expert knowledge with optimization techniques. Classical optimization methods provide theoretical guarantees but require explicit, quantitative objectives, whereas stakeholder criteria are often articulated in natural language and difficult to formalize. To bridge these domains, we develop the Large language model and Extended Greedy (LEG) framework. Our framework combines a provable approximation algorithm for population coverage optimization with LLM-driven iterative refinement that incorporates human-AI alignment to ensure solutions reflect expert qualitative guidance while preserving coverage guarantees. Experiments on real-world data from three Ethiopian regions demonstrate the framework's effectiveness and its potential to inform equitable, data-driven health system planning.",Yohai Trabelsi; Guojun Xiong; Fentabil Getnet; Stéphane Verguet; Milind Tambe,2026-01-16T18:02:09+00:00,cs.AI,cs.AI,https://arxiv.org/abs/2601.11479v1,https://arxiv.org/pdf/2601.11479v1,,rejected,72.0,"The paper has a clear applied problem and a potentially useful hybrid idea (LLM-guided preference integration with an approximation algorithm), but the abstract is vague on the concrete technical novelty of LEG beyond combining known components. It also lacks sufficient methodological detail about the LLM alignment/refinement procedure, evaluation protocol, baselines, and robustness needed to judge rigor; based on the abstract alone, the experimental evidence is underspecified for a high-quality library threshold.",2026-01-20T21:23:04.699107+00:00,,,,,2026-01-20T21:23:01.671768+00:00,2026-01-20T21:23:04.700691+00:00
